Designator,Mid X,Mid Y,Rotation,Layer
"C1",112.300000,-60.250000,180.000000,top
"C2",91.600000,-60.500000,180.000000,top
"J1",121.650000,-61.950000,90.000000,top
"J2",121.650000,-65.200000,-90.000000,top
"J3",118.400000,-70.050000,180.000000,top
"J4",121.650000,-68.450000,180.000000,top
"J5",91.750000,-71.000000,180.000000,top
"J6",95.000000,-71.000000,180.000000,top
"J7",98.250000,-71.000000,180.000000,top
"J8",101.500000,-71.000000,180.000000,top
"J9",104.750000,-71.000000,180.000000,top
"J10",108.000000,-71.000000,180.000000,top
"J11",132.370000,-51.750000,0.000000,top
"J12",90.460000,-53.660000,0.000000,top
"J13",90.460000,-57.480000,0.000000,top
"J14",132.370000,-55.570000,0.000000,top
"J15",128.560000,-53.660000,0.000000,top
"J16",128.560000,-57.480000,0.000000,top
"J17",110.780000,-53.660000,0.000000,top
"J18",110.780000,-57.480000,0.000000,top
"J19",95.540000,-57.480000,0.000000,top
"R1",95.950000,-60.250000,180.000000,top
"R2",100.400000,-60.600000,-90.000000,top
"R3",104.050000,-60.650000,-90.000000,top
"R4",116.350000,-62.850000,90.000000,top
"U1",110.000000,-65.350000,0.000000,top
"U2",95.800000,-65.450000,0.000000,top
