Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0805_2012Metric",112.300000,-60.250000,180.000000,top
"C2","0.1uF","C_0805_2012Metric",91.600000,-60.500000,180.000000,top
"J1","CE","TestPoint_Pad_D2.0mm",121.650000,-61.950000,90.000000,top
"J2","CI","TestPoint_Pad_D2.0mm",121.650000,-65.700000,-90.000000,top
"J3","XE","TestPoint_Pad_D2.0mm",118.100000,-70.700000,180.000000,top
"J4","XI","TestPoint_Pad_D2.0mm",121.650000,-69.450000,180.000000,top
"J5","M2","TestPoint_Pad_D2.0mm",90.700000,-70.925000,180.000000,top
"J6","M3","TestPoint_Pad_D2.0mm",94.450000,-70.925000,180.000000,top
"J7","M4","TestPoint_Pad_D2.0mm",98.200000,-70.925000,180.000000,top
"J8","M5","TestPoint_Pad_D2.0mm",101.950000,-70.925000,180.000000,top
"J9","M6","TestPoint_Pad_D2.0mm",105.700000,-70.925000,180.000000,top
"J10","M7","TestPoint_Pad_D2.0mm",109.450000,-70.925000,180.000000,top
"J11","IO_GND_1","PsioPin",132.370000,-51.750000,0.000000,top
"J12","IO_GND_2","PsioPin",90.460000,-53.660000,0.000000,top
"J13","IO_GND_3","PsioPin",90.460000,-57.480000,0.000000,top
"J14","IO_GND_4","PsioPin",132.370000,-55.570000,0.000000,top
"J15","IO_PE","PsioPin",128.560000,-53.660000,0.000000,top
"J16","IO_PI","PsioPin",128.560000,-57.480000,0.000000,top
"J17","M7","PsioPin",110.780000,-53.660000,0.000000,top
"J18","M7","PsioPin",110.780000,-57.480000,0.000000,top
"J19","IO_PI","PsioPin",95.540000,-57.480000,0.000000,top
"R1","47k","R_0805_2012Metric",95.950000,-60.250000,180.000000,top
"R2","10k","R_0805_2012Metric",100.400000,-60.600000,-90.000000,top
"R3","10k","R_0805_2012Metric",104.050000,-60.650000,-90.000000,top
"R4","10k","R_0805_2012Metric",116.350000,-62.850000,90.000000,top
"U1","74HC4066","TSSOP-14_4.4x5mm_P0.65mm",110.000000,-65.350000,0.000000,top
"U2","12C508/9","SOP-8_5.28x5.23mm_P1.27mm",95.800000,-65.450000,0.000000,top
